,simulation_time,communication_status
0,1.195453774474,FREE
1,1.250462248295,FREE
2,1.357037421761,FREE
3,1.458070928182,FREE
4,1.673591188668,FREE
5,1.8132977796279999,FREE
6,2.167787494784,FREE
7,2.17013015127,FREE
8,2.2414990887679997,FREE
9,2.347424276076,FREE
10,2.572201752122,FREE
11,2.889441837248,FREE
12,3.054563001821,FREE
13,3.198744920531,FREE
14,3.464995984898,FREE
15,3.49366127091,FREE
16,3.830463264318,FREE
17,3.922324236189,FREE
18,4.097234082681,FREE
19,4.396374072222,FREE
20,4.3985343058029995,FREE
21,4.620479620998,FREE
22,4.674757217402,FREE
23,4.913254350366,FREE
24,4.918409911998,FREE
25,5.145754514638,FREE
26,5.319088682544,FREE
27,5.46942492369,FREE
28,5.49394769693,FREE
29,5.518804254501,FREE
30,5.577601993657,FREE
31,5.733124767585,FREE
32,6.068010227964,FREE
33,6.212761173074,FREE
34,6.233051326811,FREE
35,6.580636711941,FREE
36,6.799415617949,FREE
37,7.163025965074,FREE
38,7.5040713799039995,FREE
39,7.559314902362,FREE
40,7.758401567088,FREE
41,7.822437570538,FREE
42,8.055149465649,FREE
43,8.151739623992,FREE
44,8.411336388562999,FREE
45,8.420031461947,FREE
46,8.591672880956,FREE
47,8.627598175861,FREE
48,8.902057448491,FREE
49,9.035991243353,FREE
50,9.376617336118,FREE
51,9.643638636495,FREE
52,9.648270720651,FREE
53,9.870310658755,FREE
54,9.908538191937,FREE
55,9.975987559015,FREE
56,10.315433496195,FREE
57,10.599039715307999,FREE
58,10.66169855697,FREE
59,10.790535485772,FREE
60,11.049101133769,FREE
61,11.305966827625,FREE
62,11.421867099405,FREE
63,11.598434286927,FREE
64,11.663741033776,FREE
65,12.243820343482,FREE
66,12.539080750779,FREE
67,12.652490236306999,FREE
68,12.711697102571,FREE
