,simulation_time,communication_status
0,1.195453749847,FREE
1,1.250462263193,FREE
2,1.357037433105,FREE
3,1.458070884331,FREE
4,1.673591189452,FREE
5,1.813297745206,FREE
6,2.16778744472,FREE
7,2.170130101141,FREE
8,2.241499070609,FREE
9,2.347424254384,FREE
10,2.572201736001,FREE
11,2.88944178064,FREE
12,3.054562956541,FREE
13,3.198744870442,FREE
14,3.464995941234,FREE
15,3.49366127091,FREE
16,3.83046320771,FREE
17,3.922324236189,FREE
18,4.097234084334,FREE
19,4.396374052123,FREE
20,4.398534285754,FREE
21,4.620479581515,FREE
22,4.674757230206,FREE
23,4.913254341432,FREE
24,4.918409880274,FREE
25,5.145754488581,FREE
26,5.319088660643,FREE
27,5.469424955103,FREE
28,5.49394769693,FREE
29,5.5188042371899995,FREE
30,5.577601993657,FREE
31,5.733124754946,FREE
32,6.068010229114,FREE
33,6.212761224394,FREE
34,6.233051323929,FREE
35,6.580636711941,FREE
36,6.799415617949,FREE
37,7.1630260170749995,FREE
38,7.504071389183,FREE
39,7.559314891962,FREE
40,7.758401602936,FREE
41,7.8224376047229995,FREE
42,8.055149444355,FREE
43,8.15173964757,FREE
44,8.411336418508,FREE
45,8.4200314815,FREE
46,8.591672846408,FREE
47,8.627598211342,FREE
48,8.902057405724,FREE
49,9.035991249883,FREE
50,9.376617392059,FREE
51,9.643638579887,FREE
52,9.648270720651,FREE
53,9.870310715362999,FREE
54,9.908538135329,FREE
55,9.975987502407,FREE
56,10.315433490591,FREE
57,10.59903970409,FREE
58,10.661698500362,FREE
59,10.790535520784,FREE
60,11.049101078555,FREE
61,11.305966800302,FREE
62,11.421867124308,FREE
63,11.598434246856,FREE
64,11.663741064665,FREE
65,12.243820291292,FREE
66,12.539080733921999,FREE
67,12.652490292915,FREE
68,12.711697089475999,FREE
