,simulation_time,communication_status
0,0.22271930518402472,FREE
1,0.5871565726550199,FREE
2,0.6991435859615972,FREE
3,0.739659625243467,FREE
4,0.8718161748892664,FREE
5,1.15491867522594,FREE
6,1.286121804650779,FREE
7,1.788087390949329,FREE
8,1.8157770172857508,FREE
9,1.8561627670137049,FREE
10,2.026448052821933,FREE
11,2.237102573672562,FREE
12,2.5084168097067496,FREE
13,2.5923184002160093,FREE
14,2.657656666212113,FREE
15,2.658205591948925,FREE
16,3.28851617031715,FREE
17,3.4390984284385864,FREE
18,3.455845007134325,FREE
19,3.486910442609112,FREE
20,4.032639541137812,FREE
21,4.3275372208495275,FREE
22,4.337200896482495,FREE
23,4.447075110611355,FREE
24,4.656590964330661,FREE
25,5.117927424760198,FREE
26,5.209429760369987,FREE
27,5.294655519201547,FREE
28,5.679496279594738,FREE
29,5.791673332459917,FREE
30,5.926108887673119,FREE
31,6.028374591539384,FREE
32,6.200356687123608,FREE
33,6.424475210467481,FREE
34,6.537669191206416,FREE
35,6.574216962064917,FREE
36,7.120555234923276,FREE
37,7.140278047853009,FREE
38,7.1799343891143295,FREE
39,7.281580762116646,FREE
40,7.361528235155505,FREE
41,7.362507927203626,FREE
42,7.912587428952813,FREE
43,7.983825935089585,FREE
44,8.211816904620894,FREE
45,8.228250009914689,FREE
46,8.402297454798855,FREE
47,8.863295651247098,FREE
48,8.935585407628116,FREE
49,9.042820604916276,FREE
50,9.198455913568084,FREE
51,9.462064653217874,FREE
52,9.747510177443617,FREE
53,9.774427274223022,FREE
54,9.817317320493654,FREE
