,simulation_time,communication_status
0,1.175032412929,FREE
1,1.1886338175939999,FREE
2,1.296601890033,FREE
3,1.319137620134,FREE
4,1.59639816826,FREE
5,1.752488079234,FREE
6,1.91640119236,FREE
7,2.472771239948,FREE
8,2.699582339701,FREE
9,2.817820427374,FREE
10,2.841299375819,FREE
11,3.010288670515,FREE
12,3.142848296467,FREE
13,3.5584514021099998,FREE
14,3.785263910829,FREE
15,3.983101581015,FREE
16,4.098793220767,FREE
17,4.2987441481649995,FREE
18,4.496652739142,FREE
19,5.0216701684739995,FREE
20,5.0464299960179995,FREE
21,5.295595403768,FREE
22,5.511343292936,FREE
23,5.555744769593,FREE
24,5.686883194002,FREE
25,5.772570051725,FREE
26,5.940700790146,FREE
27,5.97309879988,FREE
28,6.0844469307999995,FREE
29,6.128941434988,FREE
30,6.628255677508,FREE
31,6.742554075047,FREE
32,6.973711469228999,FREE
33,7.163105977679,FREE
34,7.198858642073,FREE
35,7.297535872889,FREE
36,7.924624564910999,FREE
37,8.102358107414,FREE
38,8.134660957082,FREE
39,8.180540188797,FREE
40,8.384739451808,FREE
41,8.598657450035,FREE
42,8.845595926498,FREE
43,9.126107898918,FREE
44,9.189193440927,FREE
45,9.482820302468,FREE
46,9.533869661791,FREE
47,10.009717481754,FREE
48,10.059834900353,FREE
49,10.090823552278,FREE
50,10.410534049567,FREE
51,10.561893804608,FREE
52,10.673769568163,FREE
53,10.88385100657,FREE
