,simulation_time,communication_status
0,1.175032378738,FREE
1,1.188633817975,FREE
2,1.296601895936,FREE
3,1.319137625745,FREE
4,1.596398148124,FREE
5,1.7524880782949999,FREE
6,1.916401168465,FREE
7,2.472771249045,FREE
8,2.699582318412,FREE
9,2.81782044798,FREE
10,2.841299335791,FREE
11,3.0102886411289997,FREE
12,3.142848263477,FREE
13,3.558451442138,FREE
14,3.785263896993,FREE
15,3.983101540987,FREE
16,4.098793217389,FREE
17,4.298744183519,FREE
18,4.496652715679,FREE
19,5.02167019588,FREE
20,5.046430022233,FREE
21,5.295595406955,FREE
22,5.511343332964,FREE
23,5.555744809621,FREE
24,5.686883210241,FREE
25,5.772570091753,FREE
26,5.9407008092549995,FREE
27,5.973098839908,FREE
28,6.0844469603,FREE
29,6.128941472923,FREE
30,6.628255694088,FREE
31,6.742554111273,FREE
32,6.973711496186,FREE
33,7.16310599509,FREE
34,7.198858663079,FREE
35,7.297535891038,FREE
36,7.924624584121,FREE
37,8.102358131275,FREE
38,8.134660946873,FREE
39,8.180540206511,FREE
40,8.384739433257,FREE
41,8.598657478869,FREE
42,8.845595892575,FREE
43,9.126107916134,FREE
44,9.189193400899,FREE
45,9.48282026244,FREE
46,9.533869701819,FREE
47,10.009717521459999,FREE
48,10.059834923847,FREE
49,10.090823576038,FREE
50,10.410534009538999,FREE
51,10.561893833027,FREE
52,10.673769597869999,FREE
53,10.883851017118,FREE
