,simulation_time,communication_status
0,0.13424993812532682,FREE
1,0.3449836885717057,FREE
2,0.8060712369203394,FREE
3,0.8167023006437398,FREE
4,1.0309870289132428,FREE
5,1.090930575859012,FREE
6,1.143440377760541,FREE
7,1.1755758049877847,FREE
8,1.4665412737445913,FREE
9,1.6409268249916544,FREE
10,1.8233206244852511,FREE
11,1.9048060967765235,FREE
12,2.1451828094007235,FREE
13,2.3209885918784026,FREE
14,2.357995674133439,FREE
15,2.606996811893381,FREE
16,2.817363026760589,FREE
17,3.229420553964302,FREE
18,3.3251388256326857,FREE
19,3.4229570172400603,FREE
20,3.820707027735319,FREE
21,3.9175770456192747,FREE
22,4.000850581572665,FREE
23,4.294673157647498,FREE
24,4.538841093647247,FREE
25,4.6777143572611575,FREE
26,5.074866130528484,FREE
27,5.422927866524319,FREE
28,5.544793146071035,FREE
29,5.675354235561179,FREE
30,5.710344156748967,FREE
31,5.716980240021004,FREE
32,5.722728553339071,FREE
33,6.099387994098676,FREE
34,6.142886207779193,FREE
35,6.548511370075012,FREE
36,6.8425472731076535,FREE
37,6.91704286526999,FREE
38,7.059497737950501,FREE
39,7.2324992778094455,FREE
40,7.653895566086081,FREE
41,7.654516542403399,FREE
42,7.798639934845034,FREE
43,7.8317825829619965,FREE
44,8.191032378321658,FREE
45,8.360006215177517,FREE
46,8.515273327581667,FREE
47,8.672602989887181,FREE
48,8.779243856526401,FREE
49,8.785688153506358,FREE
50,8.839208837290416,FREE
51,9.444506916646587,FREE
52,9.530690359087014,FREE
53,9.681857138421254,FREE
54,9.779253384403175,FREE
55,9.886779172012963,FREE
56,9.92468807085112,FREE
